2019-01-16 10:19:28,755 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:19:28,755 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:20:17,913 [Worker-80] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.thaiane:desafio:0.0.1-SNAPSHOT @ C:\Users\thaiane.o.jesus\Desktop\projeto-uol\test-backEnd-Java\desafio\pom.xml.
2019-01-16 10:20:18,285 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:20:18,287 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:20:18,287 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:20:18,287 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:20:43,263 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:20:43,263 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:20:43,263 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:20:43,278 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:20:50,114 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:20:50,114 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:20:50,114 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:20:50,114 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:59:46,938 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:59:46,938 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:59:46,954 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:59:46,954 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
